,date,status,content,time,type
0,27/05/2019,ENGINE,As mensagens e chamadas dessa conversa estão protegidas com criptografia de ponta a ponta.,ENGINE,text
1,27/05/2019,viewed,"Você · Status
Segue Nosso Cardápio desta Segunda Feira 12hs
Tu já está entregando no centro de Porto Belo?
12:10",12:10,text
2,27/05/2019,viewed,"Pior que estamos sem entregador para o centro Mari
12:11",12:11,text
3,27/05/2019,viewed,"Pois a demanda é muito pequena
12:11",12:11,text
4,27/05/2019,received,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",12:13,image
5,27/06/2019,viewed,"Você · Status
Cardápio dessa Quinta-feira NaBike
Oiê TD bem? Vcs já voltaram a entregar em Porto Belo?
10:36",10:36,text
6,27/06/2019,viewed,"Pior que ainda não Mari
10:36",10:36,text
7,27/06/2019,received,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",10:37,image
8,27/06/2019,viewed,"Pereque e meia Praia Mari pois no centro não temos demanda
10:38",10:38,text
9,27/06/2019,viewed,"Fica difícil mandar um entregador pra esses lados
10:38",10:38,text
10,27/06/2019,received,https://web.whatsapp.com/img/4742377b4ae743abd4f117e58c6c829b_w_736-64.png,10:38,image
11,06/12/2019,viewed,blob:https://web.whatsapp.com/a7d2bdf2-8767-48ae-8d25-e075e0a6885e,09:48,image
12,09/12/2019,viewed,blob:https://web.whatsapp.com/0597dae5-4cf2-466f-9218-6f1cb8416d72,09:39,image
13,10/12/2019,viewed,blob:https://web.whatsapp.com/17db9164-7f3d-4970-be3c-08621e7753bd,09:30,image
14,11/12/2019,viewed,blob:https://web.whatsapp.com/f7738eba-d093-4b5a-94b6-7d41fff83df8,09:17,image
15,12/12/2019,viewed,blob:https://web.whatsapp.com/43fecdab-f458-457b-aa7b-b6a240814e86,09:35,image
16,13/12/2019,viewed,blob:https://web.whatsapp.com/ec56ba58-c93c-45f0-98cc-b1f806b54929,09:42,image
17,16/12/2019,viewed,blob:https://web.whatsapp.com/b5af8340-bdca-4867-b2f7-f74924318c92,10:45,image
18,17/12/2019,viewed,blob:https://web.whatsapp.com/aa67b54a-5c06-4821-8693-3e8c351bdb08,09:24,image
19,18/12/2019,viewed,blob:https://web.whatsapp.com/c2a647f2-4560-41f2-a4c4-7a25a18425db,09:30,image
