,date,status,content,time,type
0,01/12/2019,ENGINE,As mensagens e chamadas dessa conversa estão protegidas com criptografia de ponta a ponta.,ENGINE,text
1,01/12/2019,viewed,audio: blob:https://web.whatsapp.com/3eb6a2cc-9655-443c-906a-9abe2e33196e,22:36,audio
2,01/12/2019,viewed,"Bom Dia ,informamos que os pedidos de hoje ja estão encerrados.Agradecemos muito a preferência e o sucesso de sempre!||#NaBike|#ComidaInteligente|22:36",22:36,automatic
3,01/12/2019,received,Oxi que cedo,22:36,text
4,02/12/2019,viewed,Infelizmente não atendemos sua região,08:35,text
5,02/12/2019,viewed,blob:https://web.whatsapp.com/8fd2f5f0-0e43-45a8-ace7-330ef98d0cb6,10:21,image
6,03/12/2019,viewed,blob:https://web.whatsapp.com/11ff3350-3fd3-4133-b13c-77d7a9fccb0a,10:21,image
7,04/12/2019,viewed,blob:https://web.whatsapp.com/aa90ff11-590b-4ca5-85be-448478dbe7fc,10:32,image
8,05/12/2019,viewed,blob:https://web.whatsapp.com/9fb1c1fc-cdf3-4767-96b1-145b6c668095,10:34,image
9,06/12/2019,viewed,blob:https://web.whatsapp.com/0cede27d-c7d8-4725-b807-5a07a730b913,10:42,image
10,07/12/2019,received,Bom dia,10:33,text
11,07/12/2019,viewed,"Bom Dia ,informamos que os pedidos de hoje ja estão encerrados.Agradecemos muito a preferência e o sucesso de sempre!||#NaBike|#ComidaInteligente|10:33",10:33,automatic
12,07/12/2019,received,Qual seria o valor do almoço hj ?,10:33,text
13,07/12/2019,received,Vcs entregam o parque aquático porto das águas,10:34,text
14,07/12/2019,received,??,10:34,text
15,07/12/2019,viewed,Chamada de voz perdida às 10:51,ENGINE,text
16,07/12/2019,viewed,Bom dia hoje não estamos atendendo só Apartir de segunda feira,11:06,text
17,09/12/2019,viewed,blob:https://web.whatsapp.com/1cb26654-0871-419e-9189-6aa69c0031cc,10:40,image
