,date,status,content,time,type
0,26/04/2019,ENGINE,As mensagens e chamadas dessa conversa estão protegidas com criptografia de ponta a ponta.,ENGINE,text
1,26/04/2019,viewed,duracao do video: 0:12,18:18,video
2,02/05/2019,received,"Boa noite
23:24",23:24,text
3,02/05/2019,received,"Se vc gosta de perfume chegou a chance de vc ter a maior qualidade de perfume pelo menor preço, vou te mandar meu catálogo virtual
23:25",23:25,text
4,02/05/2019,received,"Ou também a chance de ter uma renda extra sem ter alguém te estressando
23:26",23:26,text
5,02/05/2019,viewed,"Encaminhada
perfumes masculinos atualizado.pdf
28 páginasPDF10 MB
23:27",23:27,text
6,02/05/2019,viewed,"Encaminhada
perfumes feminino atualizado.pdf
36 páginasPDF17 MB
23:27",23:27,text
7,02/05/2019,viewed,"Encaminhada
Catálogo 2019 NOVO.pdf
20 páginasPDF9 MB
23:28",23:28,text
8,02/05/2019,viewed,"Encaminhada
PERFUMES MASCULINOS-1.pdf
32 páginasPDF5 MB
23:28",23:28,text
9,02/05/2019,viewed,"Encaminhada
PERFUMES FEMININOS.pdf
42 páginasPDF6 MB
23:29",23:29,text
10,02/05/2019,received,"Olhe com calma e sem pressa
23:29",23:29,text
11,08/05/2019,viewed,duracao do video: 0:15,22:09,video
12,08/05/2019,viewed,duracao do video: 0:34,22:30,video
13,29/05/2019,received,"Dae jao
21:45",21:45,text
14,29/05/2019,received,"Tas em casa
21:45",21:45,text
15,29/05/2019,viewed,"Recolhido
21:47",21:47,text
16,06/06/2019,received,"Aí jao
10:59",10:59,text
17,06/06/2019,viewed,"Fale
11:00",11:00,text
18,06/06/2019,received,"Precisa de alguém pra entregar hoje
11:01",11:01,text
19,06/06/2019,received,"Tô livre
11:01",11:01,text
20,06/06/2019,viewed,"Pra hj tá de boa
11:03",11:03,text
21,06/06/2019,viewed,"Talvez amanhã
11:03",11:03,text
22,06/06/2019,received,"Beleza
11:03",11:03,text
23,06/06/2019,received,"Da um toque
11:03",11:03,text
24,06/06/2019,received,"Amanhã passo aí pra ver
11:04",11:04,text
25,06/06/2019,received,"10hr
11:04",11:04,text
26,06/06/2019,received,"Boas vendas
11:04",11:04,text
