,date,status,content,time,type
0,01/05/2019,ENGINE,As mensagens e chamadas dessa conversa estão protegidas com criptografia de ponta a ponta.,ENGINE,text
1,01/05/2019,received,"Oi
18:04",18:04,text
2,01/05/2019,viewed,"Obrigada pela sua mensagem desejamos a todos um feliz dia do trabalhador apartir de amanhã atendimento normal
18:04",18:04,text
3,01/05/2019,received,"Eu to no salão
18:04",18:04,text
4,01/05/2019,received,"Davi ta comogo2
18:05",18:05,text
5,01/05/2019,received,"Comigo
18:05",18:05,text
6,01/05/2019,received,"Ainda vou demorar um pouco
18:05",18:05,text
7,01/05/2019,viewed,"Ok
18:14",18:14,text
8,05/05/2019,received,"Oi tenho duas casas pra ver hoje
12:45",12:45,text
9,05/05/2019,received,"O Davi quer ir junto
12:46",12:46,text
10,05/05/2019,received,"Vou buscar ele as 15h
12:46",12:46,text
11,05/05/2019,viewed,"Ok
13:11",13:11,text
12,05/05/2019,viewed,"Ele não tá querendo ir contigo
13:42",13:42,text
13,05/05/2019,viewed,"Deixa que eu levo ele depois
13:42",13:42,text
14,05/05/2019,received,"Se ele quer tranquilo
13:43",13:43,text
15,05/05/2019,viewed,"Eu levo ele a noite
13:44",13:44,text
16,06/12/2019,viewed,blob:https://web.whatsapp.com/a7d2bdf2-8767-48ae-8d25-e075e0a6885e,09:48,image
17,06/12/2019,ENGINE,O código de segurança de Cliente mudou. Clique para mais informações.,ENGINE,text
18,09/12/2019,viewed,blob:https://web.whatsapp.com/0597dae5-4cf2-466f-9218-6f1cb8416d72,09:39,image
19,10/12/2019,viewed,blob:https://web.whatsapp.com/17db9164-7f3d-4970-be3c-08621e7753bd,09:31,image
20,11/12/2019,viewed,blob:https://web.whatsapp.com/f7738eba-d093-4b5a-94b6-7d41fff83df8,09:18,image
21,12/12/2019,viewed,blob:https://web.whatsapp.com/43fecdab-f458-457b-aa7b-b6a240814e86,09:36,image
22,13/12/2019,viewed,blob:https://web.whatsapp.com/ec56ba58-c93c-45f0-98cc-b1f806b54929,09:42,image
23,16/12/2019,viewed,blob:https://web.whatsapp.com/b5af8340-bdca-4867-b2f7-f74924318c92,10:45,image
24,17/12/2019,viewed,blob:https://web.whatsapp.com/aa67b54a-5c06-4821-8693-3e8c351bdb08,09:24,image
25,18/12/2019,viewed,blob:https://web.whatsapp.com/c2a647f2-4560-41f2-a4c4-7a25a18425db,09:30,image
