,date,status,content,time,type
0,25/11/2019,ENGINE,As mensagens e chamadas dessa conversa estão protegidas com criptografia de ponta a ponta.,ENGINE,text
1,25/11/2019,received,"Bom diaa, tudo bem?! Vocês entregam no Vila Nova?",10:33,text
2,25/11/2019,viewed,Bom Dia,10:34,text
3,25/11/2019,viewed,Entregamos sim,10:34,text
4,25/11/2019,viewed,Sem taxa,10:34,text
5,25/11/2019,viewed,blob:https://web.whatsapp.com/6c9a140f-7a10-4c47-a910-a7cc2966ca7c,10:34,image
6,25/11/2019,received,"Showw, vou querer então... mas teria que ser no meu trabalho, lá por umas 12:20,  pode ser?!",10:36,text
7,25/11/2019,viewed,Claro,10:36,text
8,25/11/2019,viewed,Qual o endereço??,10:36,text
9,25/11/2019,received,"É na avenida Governador Celso Ramos, número 100-1",10:37,text
10,25/11/2019,received,É dentro do Komprão,10:37,text
11,25/11/2019,received,Na loja Fitland,10:37,text
12,25/11/2019,viewed,Tá certo então,10:37,text
13,25/11/2019,viewed,Qual seu nome?,10:37,text
14,25/11/2019,received,É Larissa,10:38,text
15,25/11/2019,received,Muito obrigada,10:38,text
16,25/11/2019,viewed,Ok Larissa,10:38,text
17,25/11/2019,viewed,Nós que agradecemos,10:38,text
18,25/11/2019,viewed,Oii 5 min tá chegando aí,12:23,text
19,25/11/2019,received,"Showw, obrigada",12:25,text
20,27/11/2019,viewed,blob:https://web.whatsapp.com/70bda0a7-83fa-4f74-869c-11b795c7ac78,09:12,image
21,28/11/2019,viewed,blob:https://web.whatsapp.com/673af63f-d192-44a6-934c-d4158fdd2da2,09:26,image
22,29/11/2019,viewed,blob:https://web.whatsapp.com/974e1947-af80-459f-98ad-0f870aebfbcb,09:20,image
23,02/12/2019,viewed,blob:https://web.whatsapp.com/8fd2f5f0-0e43-45a8-ace7-330ef98d0cb6,09:18,image
24,02/12/2019,viewed,blob:https://web.whatsapp.com/8fd2f5f0-0e43-45a8-ace7-330ef98d0cb6,10:21,image
25,03/12/2019,viewed,blob:https://web.whatsapp.com/11ff3350-3fd3-4133-b13c-77d7a9fccb0a,10:21,image
26,04/12/2019,viewed,blob:https://web.whatsapp.com/aa90ff11-590b-4ca5-85be-448478dbe7fc,10:33,image
27,05/12/2019,viewed,blob:https://web.whatsapp.com/9fb1c1fc-cdf3-4767-96b1-145b6c668095,10:34,image
28,06/12/2019,viewed,blob:https://web.whatsapp.com/0cede27d-c7d8-4725-b807-5a07a730b913,10:42,image
29,09/12/2019,viewed,blob:https://web.whatsapp.com/1cb26654-0871-419e-9189-6aa69c0031cc,10:35,image
