,date,status,content,time,type
0,05/11/2019,ENGINE,As mensagens e chamadas dessa conversa estão protegidas com criptografia de ponta a ponta.,ENGINE,text
1,05/11/2019,viewed,Bom Dia vivi,09:22,text
2,05/11/2019,viewed,Aline me passou seu contato,09:22,text
3,05/11/2019,received,Sim,09:22,text
4,05/11/2019,received,Bom dia,09:22,text
5,05/11/2019,received,O que é hoje,09:22,text
6,05/11/2019,viewed,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAASABIAAD/4QBYRXhpZgAATU0AKgAAAAgAAgESAAMAAAABAAEAAIdpAAQAAAABAAAAJgAAAAAAA6ABAAMAAAABAAEAAKACAAQAAAABAAAAZKADAAQAAAABAAAAZAAAAAD/7QA4UGhvdG9zaG9wIDMuMAA4QklNBAQAAAAAAAA4QklNBCUAAAAAABDUHYzZjwCyBOmACZjs+EJ+/8AAEQgAZABkAwEiAAIRAQMRAf/EAB8AAAEFAQEBAQEBAAAAAAAAAAABAgMEBQYHCAkKC//EALUQAAIBAwMCBAMFBQQEAAABfQECAwAEEQUSITFBBhNRYQcicRQygZGhCCNCscEVUtHwJDNicoIJChYXGBkaJSYnKCkqNDU2Nzg5OkNERUZHSElKU1RVVldYWVpjZGVmZ2hpanN0dXZ3eHl6g4SFhoeIiYqSk5SVlpeYmZqio6Slpqeoqaqys7S1tre4ubrCw8TFxsfIycrS09TV1tfY2drh4uPk5ebn6Onq8fLz9PX29/j5+v/EAB8BAAMBAQEBAQEBAQEAAAAAAAABAgMEBQYHCAkKC//EALURAAIBAgQEAwQHBQQEAAECdwABAgMRBAUhMQYSQVEHYXETIjKBCBRCkaGxwQkjM1LwFWJy0QoWJDThJfEXGBkaJicoKSo1Njc4OTpDREVGR0hJSlNUVVZXWFlaY2RlZmdoaWpzdHV2d3h5eoKDhIWGh4iJipKTlJWWl5iZmqKjpKWmp6ipqrKztLW2t7i5usLDxMXGx8jJytLT1NXW19jZ2uLj5OXm5+jp6vLz9PX29/j5+v/bAEMABgYGBgYGCgYGCg4KCgoOEg4ODg4SFxISEhISFxwXFxcXFxccHBwcHBwcHCIiIiIiIicnJycnLCwsLCwsLCwsLP/bAEMBBwcHCwoLEwoKEy4fGh8uLi4uLi4uLi4uLi4uLi4uLi4uLi4uLi4uLi4uLi4uLi4uLi4uLi4uLi4uLi4uLi4uLv/dAAQAB//aAAwDAQACEQMRAD8A8us1DiXbziFhxx2ql+6jJMQKnHc/n2FdJZGHymeJQjJE24H+I/8A1q52Qos7B+UDEkD+mK7nG59DJWk2TWt1Hby/vNwOemBzj15rZ1W6aaJDAwKsSAB1bnA4GeRXORxhzvXJ9Mit+1tpwYtqhtitkcdG4PUHBx0JBpuOwuaq04xeg7RjeQjbLbthQWcNGM7c9Tlc9a6i2Sd8E7weqhlJyOvHrXPwzz7DZ4whXAICpglgeigD+EV11iYLlnT5i8uS3faSc98Z5/w960jfqb4RulG9i008sduIWjAzwP4SCBznNcPqguWmYRKAWYDbkZG44Hvgmuj1cSxBgvy7AB1zwBjNc01zAs6zx5Dhg7ZIJOG3AA9hx6devateR/EaYipNw93qc4r3sDGNrdy0gO0FTnHcgYrIneUSeXJuUjqrAgj8DW3HcxxxvGwI5Jz8rZzj+FgQegP4deKw7pvOdp4k2KcDH0ABPGAM9cDgdBU2dzxKk5bNjInjLhWyQOT9Bz/KrQMbsNrc561kQ7RJ84LDuM4q/lQwKIV+pz/QVajcxjO8bnUXdtMJsRZI2p0P+yKr/Z7r0b86rXxvPtHyBsbE6f7oqpm+9HquUmlUXJHTof/Q87swYvNOPmETDnpWhHbIdDDKtuW3SfaGk8vzVA27Am/5sYz9zqc5rMtbosZA5/5Zt1/L8qrT3aSBYZjgdznnAH+cV24nDuqopO1nf+vzXnZnuVYxnJ67WO/tNH0CK6e3Z1aM72UJMpzG0xEbZLgfcweuR1IPSnQafYQ24uXdXwqZeORdxcS4ZAh7bOQx9AehxXMjTNMEbSw6lE3lwJIVBXIlKuSvXkBgo4yfmz2NbVnHpa20ZSUi4JQyB2QJkpIxCsSMZZVB3cLnqc4HzkYuK5nXm1dX0f8An/XXoc9OElvUZoR2Fn/avkoInjIZshsc7CVUkNwQ2ARn8aum0sYYZp4dokR0GA4IX5ULgc/MAxIyM1mItiiyNbXcf3JSrZBL7CwAK5JUsACM4zmrZsLcyiJZleMIxD7gql8kLlhkAEANjqOnWumU05Qmq0vdSurPXld3fprs/wATdptpqb0t8/8Ahyd7myuIrK2kCYml2zSEICE8z1K7hx33Yx2rLuNN0uSK4LypEXhiEDFiEMkis/ylxnadqrzggk+lW30zTJvPgjuUyPO8vLKTuRwqA47MOc4HHNUp/Dumyp5n2nYMgAMQf4VJyeBjcxXJPBHIxkjK8G3OlVnG7bfuvdyv/wAD0RhUpt/BJr/h/wCkZs+g+HUW0Yyq8kojLxmXYRJ9maQoSTwrvsG7tkiqjaDo8bTi6njeNS5cLcKvkI0SOjKpZjI28lMAtnFTRaLowkvInuFbyy20s6qSoRzleDubcAABgHPpzVabwzpMcbMt+rsrSD76fdVWZDjOfmwowOhODzTacZ8ksRPb+V9dflZfja99nyTw8/5meb26ruHmZxW5FFbuxxwMErn2rqjoGhCQq98qgOqY3oeSFyM5GVySd4G0BT1JArHubOa2kjWPDZAVdpBDDpkdDg/TpX02FxdOu2oX07poqMbbkOoMVucAn7qd/wDZFUt7ep/OruqQ3H2xgo6KgODxnaKzvJuv7prssjmpz91H/9Hze0kXzp3Tb80T8ZwuD6ZqPw1JZrrnman5H2e3illImG5GO0qoIAJPzEHABPFaktiRZq0USxgQSCR1zljk4yCSBwOwrh2WMSCSUn5egHt0r08Th/b0pUb2urXXmdcqjqqS2/qx6VY6T4ctmeUyJNEZrh1YscGJYlaLcgZSfmJGOCSCK3LJvD/lebEAscjT5UnDAJGpQYLNjL52gk+mTisjSU0nUdO0rS3UI1y8hmkBIZQrtjHzFRkAdUPFb0fhrToUeZmk2KsrEB1UgoSE6qc5IweByQeOlfMSlCM3GpWqJ6r11krrXq1p6LTUqNK32mMtLbT7TV1mgT9w0SsqsQfmeHJyTkZ3H069qtQyW8tncXMm0SnzMqOHCjYEwBhcDJzkZIHHett9NtlkSIOpZIwGVGjRtwba49AQDnnnHB6HGXb6XZ3M01t8khEqIjSMVCo27MgAZScEL3OAehoVfDzprEqpK8VG7W9k33tvfXvbS7QOF2tddPwKSjRorh1iVEH2sRrMHZj5WTyPmII4xuweD61V1pIo1jNvsJRP3gVt67skdeRkjBODwavDRLVhbqkwLSxK7JvTcrsEbGOw2MevOVPtWhBpumyrbKZW2SOTlnUhwqyMcDacBTGoPBzu+lbUcxw2GkqvtpyST01d9H3fWzf4qyTNYRcZKXMzzESQzeYrYHfPfHp9aZGY45CjkZK/L06+9dRH4f06MxXTXDo8s3lyjcp2AySqARsG07YshieScbR1rFv9Mt4NPhvo5d8kxjC/MjK6yRbnKqMsvlt8p3dc9sV71HO8NVqexhe97bdf6/DXa43VZy95KqvuJHTn61Ue7edvMblhjG0ADAHtViWxXPzsefX1q5aRJb204yGUo2OBn5f17167iziqzerK+oTM9wDwPkT/ANBFUd7etWNSwbrOMDYmPptFUMCnyHHTk+VH/9Ln7ndLGqSn70Ln26mqmneGLCaG5a6dVbYqwszhQsjhioxkA524I989qi3FoULnKiB+n+8axWl+f5W4B7+le3jMLOrTdOnPlemvo7/8A6Ix5k0nb/h2djY+GrGFrdxMfnTJBcAbiqNjO35cF8YO48Z4zXV2kEUMZ2tv3MFBbC5PmFMEHlTt+bkYA61yGlWMd7FDLZnMkdztuHb5lRGHDKOFbvu5z07c10Nlp1yr+XLmSNp5onmCbkCxqrq+c4wykkDI4HWvmpYj2c5U6uMacb3Tj0V336rbq1buhSpztpIYlnE2qz22JCiDcnKhjyvfBHQk9O1Vb6yW2ijuYZBNuZg4BHIy2wgA5wQuefatlNAllTa82zExUlUGzhtpw2eTj5gPTv3qIQ6fay3NpPIyrDFv8xBncS6BTtzyCGzwelbUcfCVRSp4ly5bXSi9be638276a+orTTTuUo9Mt2ujHGFggVCRLv4cEqoZtzYGS3bHcAZqOHTLaSaKVpfKiYOZMsF2FSFP3sDbkgZ3HPI4PFWbrQ90k7W8hIUzNGjLkssTAfM2QBwev4d6jbQoY4rm6idn8mKKRVkUKWMiF2Awx+4uCeueazp4yEoJRxjV7L4Xp0u22921rtddkyuSVvi1/rzPPNW0/LSBiFcHDKDxkdgfb1pum2k20CJQw78HAPTFOupWeUxqmMnGD2rotNmWJAqJyOuenPFfbKDSSe43JXujMuLS4Me8rtJX/P8AKsS2Qjz9w6Rt/Sus1CdcOAxAPb06VhWkQfzu58tv6Vajoc9aV0ZWooftPT+BP/QRVHYfSvQTownbeqq2AoOT32ij+wD/AM81/P8A+vTOan8K1P/T4M3jS28MW35vIk5/4Eaxb4ERbUxkZzjjNTvqDhYLkYyYmzx0Bc1kiPUr9Li4sreaaK2G6V40ZljXk7nIyF4B5Poa+mlJLVjpz0bf9aktlKwlSNM7A2cZJGTx09e1dxYpErAMPnLEqAOee3pzXI6VZXpt01IxuYN+wShTsDjnbu6bu+K7a0jllySp85sY2D8P1qopajlLQ6COWZ0yqh2b+ED06gY4rOeOGS4U3PzZJAAPQ575GavXOna3aW5dLW4RVHzu0TKB/wACIrkWe/Ale0jklMILyNGpYIg6sxA4Hv0pw5XdpmcWdPeukUX2HaGdfm3scEE9eKyGkcISmQoHzZ5ArEtbuW8cpGdzk9T2qnqE9xDIY2fO3jI6MM/1raMEtCrm6iCcBY1G85Jb2/Gi4/0NVO8EP09QPeudW8dYw0RwB155z9KpvPJK5D/zqyHUOga4E7ln+ctkk9CPem28sSiUxD/lk2f0rBmdEAKNjI/+t1rR05TskMjDBibv24qkzOpU0NS5uI3lzazFkCqM4KcgDPBqv50n/PQ/99VjEopO0cHmk3L6VpymUU4pRuf/1PGZ4GFrbc9I2/8AQ2r1z4N39hpdj4ivdTz9lKWqTE9NsjSISR6DPPtXi1xfZhtHY5LRkn/vtq39J8SLpmkato624lXVEiTzN23y/KLMCBtOclvUV7tVe1hyozg9Pv8AzPd5fB17pHhxPDVn+883WS1u5PDRNAWDHr0AOfoce9qw8LR28MuoWeoQ3X2ZgJFVCDuLAYHzdOuD7V5vp3xN1WTRdM0cQYn0yVXjui5JcKroqlMf3W2k7ufau5PjUJayxJpsFuboBpfKJUlgwO77p9CMY6nOaiNLEqNl+g20d3fXyf2zdwQ3xuJY4nI0/wCYbzs+7ljt4HJxk4z71zeg2TXtotvqdwgtrvRwq7FWPyo2YLgsSdxx/EQPpXK3vxEtI7qbVLTSIodQcHbcGUuUZhjIUqB047ViSeN1XSl01LNTu0/7AJDJjhuQ+NvZucZ/GoWEq8tku3b+v1Fzo0PFGjXMniGHw7o9lDZKpEUARQGkH/PR5AMtkDJ64we+aqeIvBF5o1hLqrz/AGr7IyrcBoJIjl+Ays/yyKDjlfXkVmz+PrgWFhCy7tQ01t0V5u5ZD1Rl28jHGdwPHuazPEPj46zYPZ29hFatcPvmlDvIW5yQob7gJxwP8a7IKvFxitlv/mDkjjXIlYAE5PWo7lhA29Wz6ev40RPEFZ5VPse2ailthI45YErnBwPQnr7V2TlYyepVa5LYBNa+n3hVpNy5Ahbj8qzHs1jK5J9WHcc7fT1rVtLba0wCMP3TckjuRj+tJTM57FjzoHAbleOmM0m+H+8fy/8Ar1hytIjlc9Mdx/SmeZJ61rzhc//V8CvMNb2rED/VN0/32qWxjRiCwzgA1Fd/8etp/wBcm/8AQ2qxYf0H8xX0VEyhsdJbogYFVA46f/rrZWVzhWOQB3+lZFv1/CtNPvfh/SvQREjNumIjcjswx+P/AOqsaSR95GcVr3f+rf8A3l/rWJJ98/hUz2IK4upVkZRtx0+6M/nipC2wKVAzg1TP+uerUnRfxqEy5SbSuyGKdxLu4PsRxTbh3ycEjOM49qjj+/Trj71LoQNjZyCxY5A9fWtDTyyifBP+pYde3FZ0f3W+grQsek//AFyb+lC2JnsRoNy5NO2CiP7gp9bEn//Z",09:22,image
7,05/11/2019,received,Salada mista o que é,09:22,text
8,05/11/2019,viewed,Hoje bem provável que seja alface americana com agrião,09:23,text
9,05/11/2019,received,Sem agrião se pode,09:23,text
