,date,status,content,time,type
0,16/12/2019,ENGINE,As mensagens e chamadas dessa conversa estão protegidas com criptografia de ponta a ponta.,ENGINE,text
1,16/12/2019,received,"Oi boa noite
22:17",22:17,text
2,16/12/2019,received,"Será que você tem um cardápio pra me mandar?
22:17",22:17,text
3,16/12/2019,viewed,"Ola, boa noite tudo bemm
22:17",22:17,text
4,16/12/2019,received,"Acho que fica mais fácil fazer o pedido pelo Whatsapp do que pelo Ifood
22:18",22:18,text
5,16/12/2019,viewed,blob:https://web.whatsapp.com/6ecae91e-9719-4f3c-9ee5-fa9d68f814e6,22:18,image
6,16/12/2019,viewed,"Qualquer duvida só me avisar
22:18",22:18,text
7,16/12/2019,received,"Tu tem foto das peças?
22:19",22:19,text
8,16/12/2019,received,"Pra ter uma noção de tamanho
22:19",22:19,text
9,16/12/2019,viewed,blob:https://web.whatsapp.com/15f8ebc5-8908-4f2c-99ff-9e4d7c700fb0,22:21,image
10,16/12/2019,viewed,blob:https://web.whatsapp.com/7ebac8e6-4bfd-4a5b-8c48-c5aaa966c394,22:21,image
11,16/12/2019,viewed,blob:https://web.whatsapp.com/996918e8-c90c-41f6-82bb-0b7aac33b0b4,22:21,image
12,16/12/2019,received,"Quanto fica?
20 peças de djou salmão
20 uramaki philadelphia 
10 sashimi salmão
22:25",22:25,text
13,16/12/2019,viewed,"163,70 tudo
22:26",22:26,text
14,16/12/2019,received,"Manda pra nós amigo
22:27",22:27,text
15,16/12/2019,viewed,"Mando simm
22:27",22:27,text
16,16/12/2019,received,"Só que da aquela caprichada ne. Primeira vez que pedimos ai com vcs!
22:27",22:27,text
17,16/12/2019,viewed,"Legal, pode deixar
22:27",22:27,text
18,16/12/2019,viewed,"qual endereço de entrega?
22:27",22:27,text
19,16/12/2019,received,"Rua Felipe Sestren, n°379, casa, Perequê
22:28",22:28,text
20,16/12/2019,viewed,"perfeito
22:29",22:29,text
21,16/12/2019,received,"Dinheiro ta
22:33",22:33,text
22,16/12/2019,received,"200,00
22:33",22:33,text
23,16/12/2019,viewed,"perfeito
22:35",22:35,text
24,16/12/2019,received,"Quanto temlo
22:41",22:41,text
25,16/12/2019,received,"Tempo?
22:41",22:41,text
26,16/12/2019,viewed,"Entre 40 min
22:41",22:41,text
27,16/12/2019,received,"Vai vir o pedido amigo?
23:25",23:25,text
28,16/12/2019,received,"Faz 1h ka
23:26",23:26,text
29,16/12/2019,received,"Ja*
23:26",23:26,text
30,16/12/2019,viewed,"Ele saiu faz um tempinho ja
23:27",23:27,text
31,16/12/2019,viewed,"tinha 3 pedidos junto
23:27",23:27,text
32,16/12/2019,viewed,"Logo chega
23:27",23:27,text
33,16/12/2019,viewed,https://web.whatsapp.com/img/4742377b4ae743abd4f117e58c6c829b_w_1652-64.png,23:27,image
34,19/12/2019,viewed,blob:https://web.whatsapp.com/148ec882-15a0-4f81-8e3c-2623346b2719,19:54,image
35,19/12/2019,viewed,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",20:18,image
