,date,status,content,time,type
0,11/12/2019,ENGINE,As mensagens e chamadas dessa conversa estão protegidas com criptografia de ponta a ponta.,ENGINE,text
1,11/12/2019,received,"Boa noite
21:08",21:08,text
2,11/12/2019,received,"Pode me enviar o cardápio?
21:08",21:08,text
3,11/12/2019,viewed,blob:https://web.whatsapp.com/6ecae91e-9719-4f3c-9ee5-fa9d68f814e6,21:08,image
4,11/12/2019,viewed,blob:https://web.whatsapp.com/485d1295-e5ff-4221-bbac-3e65ce139691,21:09,image
5,15/12/2019,received,"Boa noite
21:13",21:13,text
6,15/12/2019,viewed,"boa noite
21:15",21:15,text
7,15/12/2019,viewed,blob:https://web.whatsapp.com/6ecae91e-9719-4f3c-9ee5-fa9d68f814e6,21:15,image
8,15/12/2019,received,"Gostaria de pedir um combo de 37
21:17",21:17,text
9,15/12/2019,received,"Peças
21:17",21:17,text
10,15/12/2019,viewed,"Ola boa noite
21:18",21:18,text
11,15/12/2019,viewed,"claro algo a mais?
21:18",21:18,text
12,15/12/2019,received,"Pode ser em guaraná lata tb
21:19",21:19,text
13,15/12/2019,received,"Quanto fica?
21:19",21:19,text
14,15/12/2019,viewed,"legal
21:19",21:19,text
15,15/12/2019,viewed,"fica em R$ 79,90
21:19",21:19,text
16,15/12/2019,received,"Hj os combos não estão com 20%?
21:20",21:20,text
17,15/12/2019,received,"Tinha visto no insta agorinha
21:20",21:20,text
18,15/12/2019,received,https://web.whatsapp.com/img/4742377b4ae743abd4f117e58c6c829b_w_1574-40.png,21:20,image
19,15/12/2019,viewed,"A perdao
21:20",21:20,text
20,15/12/2019,viewed,"lancei preço normal
21:20",21:20,text
21,15/12/2019,viewed,"seu pedido fica rm R$ 65
21:20",21:20,text
22,15/12/2019,received,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",21:21,image
23,15/12/2019,received,"Obrigadaaa
21:21",21:21,text
24,15/12/2019,received,"Pode ser troco p 115 p facilitar
21:21",21:21,text
25,15/12/2019,received,"Quanto tempo mais ou menos?
21:21",21:21,text
26,15/12/2019,viewed,"Legal mando troco sim
21:21",21:21,text
27,15/12/2019,viewed,"Entre 45 minutos ta entregue seu pedido
21:21",21:21,text
28,15/12/2019,received,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",21:22,image
29,15/12/2019,viewed,"obrigado vocee
21:27",21:27,text
30,15/12/2019,viewed,"qual endereço p entrega
21:53",21:53,text
31,15/12/2019,received,"Dr Orlando pereira
21:53",21:53,text
32,15/12/2019,received,"N 445
21:53",21:53,text
33,15/12/2019,viewed,"pereque?
21:53",21:53,text
34,15/12/2019,received,"No centro
21:55",21:55,text
35,15/12/2019,received,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",21:55,image
36,15/12/2019,viewed,"ok
21:55",21:55,text
37,19/12/2019,viewed,blob:https://web.whatsapp.com/148ec882-15a0-4f81-8e3c-2623346b2719,19:57,image
38,19/12/2019,viewed,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",20:15,image
